Deviation_ID,Description,Deviation_Type,Root_Cause_Category,Risk_Severity
DEV-2025-0001,"During routine in-process testing, assay results for Batch B25-001 were found to be out of specification (OOS) on initial analysis. Investigation identified that the mixing step exceeded the validated time range due to operator misinterpretation of the batch record instructions. The deviation was detected prior to batch release. No impact to previously released batches was identified, and the batch was placed on quality hold pending investigation and disposition.",Process,Human Error,Medium
DEV-2025-0002,"A temperature excursion was observed in the finished goods warehouse when the monitoring system recorded temperatures above 25°C for approximately four hours. Review of data showed delayed response to the alarm notification. Impact assessment confirmed that affected lots remained within labeled stability allowances. The deviation was documented, and corrective actions were initiated to improve alarm response procedures.",Environmental,Procedure Inadequate,Medium
DEV-2025-0003,"During equipment setup for tablet compression, the punch lubrication system failed to dispense lubricant at the validated rate. The issue was identified after visual defects were observed on compressed tablets. Equipment logs indicated a mechanical blockage. The batch was rejected due to potential impact on content uniformity and tablet integrity. Maintenance and requalification activities were initiated.",Equipment,Equipment Malfunction,High
DEV-2025-0004,"A discrepancy was noted between the approved master batch record and the executed batch record regarding sampling frequency. The operator followed an outdated controlled copy. No product quality impact was identified, as all required samples were ultimately collected and tested within specification. The deviation was recorded to address document control and training gaps.",Documentation,Training Deficiency,Low
DEV-2025-0005,"Incoming raw material lactose monohydrate failed identity testing upon receipt. Investigation revealed that the supplier provided material from an unapproved manufacturing site. The material was rejected and segregated. Supplier qualification records were reviewed, and a supplier corrective action request was issued to prevent recurrence.",Material,Supplier Issue,High
DEV-2025-0006,"During cleaning verification of the granulation equipment, swab results exceeded established residue limits. Review determined that the operator omitted a validated rinse step in the cleaning procedure. The equipment was re-cleaned and re-tested with acceptable results. No batches were processed on the equipment prior to resolution.",Process,Human Error,Medium
DEV-2025-0007,"A batch manufacturing record was not reviewed within the required five business days due to QA staffing constraints. The delay did not impact batch release timelines or product quality. The deviation was documented to address procedural adherence and workload management within the quality unit.",Documentation,Procedure Inadequate,Low
DEV-2025-0008,"During routine calibration, a balance used for dispensing active pharmaceutical ingredient was found to be out of tolerance. Historical review identified multiple batches weighed on the balance since the last acceptable calibration. Risk assessment concluded no significant impact based on redundant weight checks. The balance was removed from service and recalibrated.",Equipment,Equipment Malfunction,Medium
DEV-2025-0009,"An operator entered an incorrect lot number on the label reconciliation form during packaging operations. The error was detected during line clearance reconciliation. No mislabeled product was released. The deviation was recorded to reinforce data integrity and documentation accuracy expectations.",Documentation,Human Error,Low
DEV-2025-0010,"Environmental monitoring results from Grade C area showed elevated viable counts above alert limits. Investigation determined that cleaning frequency was insufficient during increased production activity. Enhanced cleaning was implemented, and subsequent monitoring results were within limits. No sterility assurance impact was identified.",Environmental,Procedure Inadequate,Medium
DEV-2025-0011,"A training record review revealed that a newly assigned operator performed equipment setup prior to completing required GMP training. The task was supervised, and no errors were observed. The deviation was documented to address training compliance and access control to manufacturing activities.",Training,Training Deficiency,Low
DEV-2025-0012,"During stability testing, a long-term sample showed a marginal trend toward specification limits. Investigation linked the result to a brief temperature excursion during sample storage. The excursion remained within allowable limits, and no formal OOS occurred. Enhanced monitoring controls were implemented.",Environmental,Equipment Malfunction,Low
DEV-2025-0013,"A batch was rejected after dissolution results failed to meet specification during final testing. Investigation identified inadequate granulation moisture control due to inconsistent process monitoring. Corrective actions included revision of in-process controls and retraining of manufacturing staff.",Process,Procedure Inadequate,High
DEV-2025-0014,"An unapproved pen was observed being used to complete GMP documentation on the manufacturing floor. Although the entries were legible and accurate, the deviation was recorded to reinforce data integrity requirements and controlled documentation practices.",Documentation,Human Error,Low
DEV-2025-0015,"A preventive maintenance activity on the coating pan was performed later than the scheduled interval. Review of equipment performance showed no abnormalities. The deviation was documented to improve maintenance planning and tracking within the computerized maintenance management system.",Equipment,Other,Low
DEV-2025-0016,"Raw material packaging was found damaged upon receipt, with potential risk of contamination. The material was quarantined and inspected. No contamination was detected, but the shipment was rejected as a precaution. Supplier handling practices were reviewed.",Material,Supplier Issue,Medium
DEV-2025-0017,"During media fill simulation, an operator deviated from the approved aseptic technique by reaching over open containers. The simulation was failed, and a full investigation was conducted. Retraining and requalification of involved personnel were required.",Training,Human Error,High
DEV-2025-0018,"A deviation was opened when an electronic batch record system experienced temporary downtime, requiring use of paper backup records. Data reconciliation confirmed completeness and accuracy. System validation and IT controls were reviewed.",Documentation,Equipment Malfunction,Medium
DEV-2025-0019,"Cleaning validation acceptance criteria were not met for one sampling location during routine verification. Investigation identified worn gaskets as a potential source of residue retention. Gaskets were replaced and the equipment was revalidated.",Equipment,Equipment Malfunction,Medium
